t,x_des,y_des,z_des,x_act,y_act,z_act
3.35,8.44162,5.36088,2,8.54026,5.34872,2
3.36,8.45766,5.33553,2,8.56276,5.32466,2
3.37,8.47363,5.31014,2,8.58492,5.30055,2
3.38,8.48953,5.28469,2,8.60673,5.27639,2
3.39,8.50534,5.2592,2,8.62818,5.25217,2
3.4,8.52108,5.23366,2,8.64925,5.2279,2
3.41,8.53674,5.20807,2,8.66994,5.20356,2
3.42,8.55233,5.18244,2,8.69025,5.17916,2
3.43,8.56784,5.15676,2,8.71016,5.1547,2
3.44,8.58327,5.13103,2,8.72967,5.13016,2
3.45,8.59862,5.10526,2,8.74878,5.10556,2
3.46,8.6139,5.07944,2,8.76748,5.08088,2
3.47,8.6291,5.05358,2,8.78575,5.05613,2
3.48,8.64422,5.02767,2,8.80361,5.0313,2
3.49,8.65927,5.00171,2,8.82105,5.0064,2
3.5,8.67423,4.97571,2,8.83806,4.98141,2
3.51,8.68912,4.94967,2,8.85465,4.95634,2
3.52,8.70393,4.92358,2,8.87081,4.93119,2
3.53,8.71866,4.89744,2,8.88654,4.90595,2
3.54,8.73331,4.87126,2,8.90183,4.88062,2
3.55,8.74789,4.84504,2,8.91671,4.85521,2
3.56,8.76239,4.81878,2,8.93115,4.8297,2
3.57,8.7768,4.79247,2,8.94517,4.8041,2
3.58,8.79114,4.76612,2,8.95877,4.77842,2
3.59,8.8054,4.73972,2,8.97194,4.75263,2
3.6,8.81958,4.71328,2,8.9847,4.72676,2
3.61,8.83368,4.6868,2,8.99706,4.70079,2
3.62,8.8477,4.66028,2,9.009,4.67472,2
3.63,8.86164,4.63372,2,9.02054,4.64856,2
3.64,8.8755,4.60711,2,9.03169,4.6223,2
3.65,8.88928,4.58046,2,9.04246,4.59595,2
3.66,8.90298,4.55378,2,9.05284,4.56949,2
3.67,8.91661,4.52705,2,9.06284,4.54295,2
3.68,8.93015,4.50028,2,9.07248,4.5163,2
3.69,8.94361,4.47347,2,9.08177,4.48956,2
3.7,8.95699,4.44662,2,9.0907,4.46272,2
3.71,8.97029,4.41972,2,9.09929,4.43578,2
3.72,8.98351,4.39279,2,9.10756,4.40875,2
3.73,8.99664,4.36582,2,9.1155,4.38163,2
3.74,9.0097,4.33881,2,9.12314,4.35441,2
3.75,9.02268,4.31177,2,9.13047,4.32709,2
3.76,9.03557,4.28468,2,9.13751,4.29969,2
3.77,9.04838,4.25755,2,9.14428,4.27219,2
3.78,9.06112,4.23039,2,9.15078,4.2446,2
3.79,9.07377,4.20319,2,9.15702,4.21692,2
3.8,9.08633,4.17595,2,9.16302,4.18916,2
3.81,9.09882,4.14867,2,9.16879,4.16131,2
3.82,9.11123,4.12135,2,9.17434,4.13337,2
3.83,9.12355,4.094,2,9.17967,4.10535,2
3.84,9.13579,4.06661,2,9.18481,4.07724,2
3.85,9.14795,4.03919,2,9.18977,4.04906,2
3.86,9.16003,4.01172,2,9.19456,4.02079,2
3.87,9.17202,3.98423,2,9.19918,3.99245,2
3.88,9.18393,3.95669,2,9.20366,3.96403,2
3.89,9.19576,3.92912,2,9.20801,3.93554,2
3.9,9.20751,3.90152,2,9.21223,3.90698,2
3.91,9.21917,3.87388,2,9.21634,3.87835,2
3.92,9.23075,3.8462,2,9.22036,3.84965,2
3.93,9.24225,3.81849,2,9.22429,3.82088,2
3.94,9.25366,3.79075,2,9.22815,3.79205,2
3.95,9.26499,3.76297,2,9.23195,3.76316,2
3.96,9.27624,3.73516,2,9.2357,3.73421,2
3.97,9.2874,3.70731,2,9.23942,3.7052,2
3.98,9.29848,3.67943,2,9.24311,3.67614,2
3.99,9.30948,3.65152,2,9.2468,3.64702,2
4,9.32039,3.62358,2,9.25048,3.61786,2
4.01,9.33122,3.5956,2,9.25418,3.58864,2
4.02,9.34196,3.56759,2,9.25789,3.55939,2
4.03,9.35263,3.53955,2,9.26165,3.53008,2
4.04,9.3632,3.51147,2,9.26545,3.50074,2
4.05,9.37369,3.48337,2,9.2693,3.47136,2
4.06,9.3841,3.45523,2,9.27323,3.44194,2
4.07,9.39443,3.42706,2,9.27723,3.41249,2
4.08,9.40466,3.39887,2,9.28132,3.38301,2
4.09,9.41482,3.37064,2,9.28551,3.3535,2
4.1,9.42489,3.34238,2,9.2898,3.32396,2
4.11,9.43487,3.31409,2,9.29421,3.2944,2
4.12,9.44477,3.28577,2,9.29875,3.26482,2
4.13,9.45459,3.25742,2,9.30341,3.23521,2
4.14,9.46432,3.22904,2,9.30823,3.20559,2
4.15,9.47396,3.20063,2,9.31319,3.17596,2
4.16,9.48352,3.1722,2,9.3183,3.14632,2
4.17,9.49299,3.14373,2,9.32358,3.11666,2
4.18,9.50238,3.11524,2,9.32903,3.087,2
4.19,9.51169,3.08672,2,9.33466,3.05733,2
4.2,9.5209,3.05817,2,9.34047,3.02766,2
4.21,9.53004,3.02959,2,9.34647,2.99798,2
4.22,9.53908,3.00099,2,9.35265,2.96831,2
4.23,9.54804,2.97236,2,9.35904,2.93864,2
4.24,9.55692,2.9437,2,9.36562,2.90898,2
4.25,9.5657,2.91502,2,9.37241,2.87932,2
4.26,9.57441,2.88631,2,9.37941,2.84968,2
4.27,9.58302,2.85757,2,9.38661,2.82004,2
4.28,9.59155,2.82881,2,9.39402,2.79041,2
4.29,9.59999,2.80002,2,9.40164,2.7608,2
4.3,9.60835,2.77121,2,9.40948,2.73121,2
4.31,9.61662,2.74237,2,9.41753,2.70163,2
4.32,9.6248,2.71351,2,9.42579,2.67207,2
4.33,9.6329,2.68462,2,9.43426,2.64254,2
4.34,9.64091,2.65571,2,9.44295,2.61302,2
4.35,9.64884,2.62678,2,9.45184,2.58353,2
